dataset,model,n,n_classes,majority_class_accuracy,accuracy,acc_ci_lo,acc_ci_hi,macro_f1,f1_ci_lo,f1_ci_hi,brier,ece15,nll,mean_confidence,frac_gold_prob_zero,acc_at_cov50,acc_at_cov80,p50_ms,p95_ms,latency_kind,total_cost_usd,n_errors
emotion,Jev 1.13,2000,6,0.3475,0.5865,0.565,0.608,0.500169346127495,0.4714906092860985,0.5280564913205374,0.6669121925313743,0.2811848484848518,2.8447117452082002,0.8666048484848485,0.151,0.739,0.649375,349.08552095294,592.5783503917046,remote end-to-end,0.028405566,0
emotion,PrismNLI-0.4B,2000,6,0.3475,0.7245,0.705,0.744,0.6474436535145768,0.6204392765714015,0.67284697015589,0.4413876955120036,0.1744967778846621,1.1739868093602803,0.8940554530397058,0.0,0.895,0.79875,57.68291652202606,82.97598537174053,local compute,,0
emotion,Laya,2000,6,0.3475,0.587,0.5654875,0.609,0.49292022045442496,0.4629702763857285,0.5216886516200189,0.707405253637285,0.30683023135721016,2.031856241237887,0.8938302313572102,0.0125,0.708,0.63,31.301062495913357,35.38684162776917,local compute,,0
tweet_topic,Jev 1.13,1693,6,0.3963378617838157,0.7932663910218547,0.7737743650324868,0.8121677495569994,0.6935641585928337,0.6667036899520489,0.7182413714946072,0.2935419975769436,0.06306872624651892,0.7025939312311161,0.8503236738322385,0.01831069108092144,0.9539551357733176,0.8656826568265683,348.18816697224975,607.6644751708952,remote end-to-end,0.026407206000000003,0
tweet_topic,PrismNLI-0.4B,1693,6,0.3963378617838157,0.6326048434731246,0.6089781453041937,0.655050206733609,0.5444470249368362,0.5161795489629835,0.570881966412,0.5374043309788789,0.18096672526598684,1.1967130051554418,0.790593565522533,0.0,0.8370720188902007,0.7003690036900369,84.85724998172373,124.86950021702796,local compute,,0
tweet_topic,Laya,1693,6,0.3963378617838157,0.6320141760189013,0.6089781453041937,0.6556408741878322,0.4610687878016006,0.43424931644548825,0.48725836026034663,0.5049364171359362,0.1294692086533889,1.090641944455577,0.7614833846722904,0.0005906674542232723,0.8347107438016529,0.7084870848708487,35.261166049167514,40.10489974170923,local compute,,0
fin_topic,Jev 1.13,4117,20,0.2069468059266456,0.669905270828273,0.655574447413165,0.684236094243381,0.6297776461954657,0.6096508701394361,0.6472011261285409,0.5085429071855154,0.166379166942688,1.7879855025322107,0.8351662360795225,0.0782122905027933,0.8275862068965517,0.7370977534911961,338.48120900802314,445.5386080080642,remote end-to-end,0.083385708,0
fin_topic,PrismNLI-0.4B,4117,20,0.2069468059266456,0.3524410978868108,0.33762448384746174,0.3667719213019189,0.2557843384242539,0.2395984270726041,0.27188209243691674,0.8057094947443734,0.19861568660919374,2.1704497962580738,0.5510567844960045,0.0,0.4740165128703254,0.39829993928354585,195.2847499633208,318.03618283011014,local compute,,0
fin_topic,Laya,4117,20,0.2069468059266456,0.3419965994656303,0.32742288073840176,0.3565703181928589,0.36230486951383173,0.3413632313170861,0.3805722481851021,1.2494027763211684,0.6095657547493933,7.841197484208339,0.9515623542150269,0.5095943648287588,0.4526469159786304,0.3743169398907104,43.61070797313005,46.138433599844575,local compute,,0
daily_dialog,Jev 1.13,7740,7,0.8166666666666667,0.7099483204134367,0.6998708010335918,0.7200258397932816,0.3847281553578324,0.36226363306117537,0.4062529139165459,0.46029887849602436,0.1562776211729574,1.4505708500410126,0.8650746874429045,0.05904392764857881,0.8276485788113696,0.7627583979328165,329.79331200476736,449.0248625050297,remote end-to-end,0.11236805999999999,0
daily_dialog,PrismNLI-0.4B,7740,7,0.8166666666666667,0.7652454780361757,0.7556847545219638,0.7746770025839793,0.3454346280143256,0.3215424977384054,0.36853103662966297,0.40914879756313394,0.1756406849360897,1.2498253674319502,0.9397506782096794,0.0,0.8772609819121447,0.8252583979328165,149.23806249862537,312.3517742671537,local compute,,0
daily_dialog,Laya,7740,7,0.8166666666666667,0.6143410852713178,0.6034883720930233,0.6251937984496124,0.27483026304338726,0.25563220260880687,0.29393443214055226,0.6007962131785461,0.2080129079294583,1.2529070365324595,0.8207940738492551,0.002971576227390181,0.6578811369509044,0.6408268733850129,52.52914602169767,197.25065067759704,local compute,,0
