model,variant,split,n,n_valid,n_common,n_classes,accuracy,majority_class_accuracy,acc_ci_lo,acc_ci_hi,macro_f1,f1_ci_lo,f1_ci_hi,brier,ece15,ece_adaptive10,nll,mean_confidence,acc_at_cov50,acc_at_cov80,acc_at_cov90,acc_at_cov100,frac_gold_prob_zero,p50_ms,p95_ms,mean_ms,examples_per_sec,total_cost_usd,n_errors,n_retries,latency_kind
Jev,plain,test,7740,7740,7740,7,0.7099483204134367,0.8166666666666667,0.6998708010335918,0.7200258397932816,0.3847281553578324,0.36226363306117537,0.4062529139165459,0.46029887849602436,0.1562776211729574,0.15512636702946989,1.4505708500410126,0.8650746874429045,0.8276485788113696,0.7627583979328165,0.7368647717484926,0.7099483204134367,0.05904392764857881,329.79331200476736,449.0248625050297,347.87587869824546,2.8745884990416943,0.11236805999999999,0,0,remote end-to-end
PrismNLI-0.4B,plain,test,7740,7740,7740,7,0.7652454780361757,0.8166666666666667,0.7556847545219638,0.7746770025839793,0.3454346280143256,0.3215424977384054,0.36853103662966297,0.40914879756313394,0.1756406849360897,0.1745052001735037,1.2498253674319502,0.9397506782096794,0.8772609819121447,0.8252583979328165,0.7994544932529428,0.7652454780361757,0.0,149.23806249862537,312.3517742671537,150.15418636284707,6.659820976176471,,0,0,local compute
Laya,plain,test,7740,7740,7740,7,0.6143410852713178,0.8166666666666667,0.6034883720930233,0.6251937984496124,0.27483026304338726,0.25563220260880687,0.29393443214055226,0.6007962131785461,0.2080129079294583,0.20645298857793717,1.2529070365324595,0.8207940738492551,0.6578811369509044,0.6408268733850129,0.6274763135228252,0.6143410852713178,0.002971576227390181,52.52914602169767,197.25065067759704,73.09558915897232,13.680716052854365,,0,0,local compute
