model,variant,split,n,n_valid,n_common,n_classes,accuracy,majority_class_accuracy,acc_ci_lo,acc_ci_hi,macro_f1,f1_ci_lo,f1_ci_hi,brier,ece15,ece_adaptive10,nll,mean_confidence,acc_at_cov50,acc_at_cov80,acc_at_cov90,acc_at_cov100,frac_gold_prob_zero,p50_ms,p95_ms,mean_ms,examples_per_sec,total_cost_usd,n_errors,n_retries,latency_kind
Jev,plain,validation,4117,4117,4117,20,0.669905270828273,0.2069468059266456,0.655574447413165,0.684236094243381,0.6297776461954657,0.6096508701394361,0.6472011261285409,0.5085429071855154,0.166379166942688,0.16526096525125003,1.7879855025322107,0.8351662360795225,0.8275862068965517,0.7370977534911961,0.7012951969778737,0.669905270828273,0.0782122905027933,338.48120900802314,445.5386080080642,351.2325407511887,2.847116607878297,0.083385708,0,1,remote end-to-end
PrismNLI-0.4B,plain,validation,4117,4117,4117,20,0.3524410978868108,0.2069468059266456,0.33762448384746174,0.3667719213019189,0.2557843384242539,0.2395984270726041,0.27188209243691674,0.8057094947443734,0.19861568660919374,0.1986156866091937,2.1704497962580738,0.5510567844960045,0.4740165128703254,0.39829993928354585,0.3766864543982731,0.3524410978868108,0.0,195.2847499633208,318.03618283011014,207.51605299796287,4.81890429946553,,0,0,local compute
Laya,plain,validation,4117,4117,4117,20,0.3419965994656303,0.2069468059266456,0.32742288073840176,0.3565703181928589,0.36230486951383173,0.3413632313170861,0.3805722481851021,1.2494027763211684,0.6095657547493933,0.6095657547493968,7.841197484208339,0.9515623542150269,0.4526469159786304,0.3743169398907104,0.35860766324878574,0.3419965994656303,0.5095943648287588,43.61070797313005,46.138433599844575,43.57802610904773,22.94734501047946,,0,0,local compute
