model,variant,split,n,n_valid,n_common,n_classes,accuracy,majority_class_accuracy,acc_ci_lo,acc_ci_hi,macro_f1,f1_ci_lo,f1_ci_hi,brier,ece15,ece_adaptive10,nll,mean_confidence,acc_at_cov50,acc_at_cov80,acc_at_cov90,acc_at_cov100,frac_gold_prob_zero,p50_ms,p95_ms,mean_ms,examples_per_sec,total_cost_usd,n_errors,n_retries,latency_kind
Jev,plain,test_2021,1693,1693,1693,6,0.7932663910218547,0.3963378617838157,0.7737743650324868,0.8121677495569994,0.6935641585928337,0.6667036899520489,0.7182413714946072,0.2935419975769436,0.06306872624651892,0.05977280185195133,0.7025939312311161,0.8503236738322385,0.9539551357733176,0.8656826568265683,0.8241469816272966,0.7932663910218547,0.01831069108092144,348.18816697224975,607.6644751708952,385.1141450605952,2.596632745968488,0.026407206000000003,0,0,remote end-to-end
PrismNLI-0.4B,plain,test_2021,1693,1693,1693,6,0.6326048434731246,0.3963378617838157,0.6089781453041937,0.655050206733609,0.5444470249368362,0.5161795489629835,0.570881966412,0.5374043309788789,0.18096672526598684,0.17231474325668159,1.1967130051554418,0.790593565522533,0.8370720188902007,0.7003690036900369,0.6653543307086615,0.6326048434731246,0.0,84.85724998172373,124.86950021702796,88.28924153181924,11.326408321670792,,0,0,local compute
Laya,plain,test_2021,1693,1693,1693,6,0.6320141760189013,0.3963378617838157,0.6089781453041937,0.6556408741878322,0.4610687878016006,0.43424931644548825,0.48725836026034663,0.5049364171359362,0.1294692086533889,0.12947062638523898,1.090641944455577,0.7614833846722904,0.8347107438016529,0.7084870848708487,0.6725721784776902,0.6320141760189013,0.0005906674542232723,35.261166049167514,40.10489974170923,35.597615331734275,28.09176936940852,,0,0,local compute
