model,variant,split,n,n_valid,n_common,accuracy,acc_ci_lo,acc_ci_hi,macro_f1,f1_ci_lo,f1_ci_hi,brier,ece15,ece_adaptive10,nll,mean_confidence,acc_at_cov50,acc_at_cov80,acc_at_cov90,acc_at_cov100,frac_gold_prob_zero,p50_ms,p95_ms,mean_ms,examples_per_sec,total_cost_usd,n_errors,n_retries,latency_kind
Jev,plain,test,2000,2000,2000,0.5865,0.565,0.608,0.500169346127495,0.4714906092860985,0.5280564913205374,0.6669121925313743,0.2811848484848518,0.2801048484848483,2.8447117452082002,0.8666048484848485,0.739,0.649375,0.6183333333333333,0.5865,0.151,349.08552095294,592.5783503917046,384.6446715500788,2.5998020353956863,0.028405566,0,0,remote end-to-end
PrismNLI-0.4B,plain,test,2000,2000,2000,0.7245,0.705,0.744,0.6474436535145768,0.6204392765714015,0.67284697015589,0.4413876955120036,0.1744967778846621,0.16955545303970576,1.1739868093602803,0.8940554530397058,0.895,0.79875,0.7655555555555555,0.7245,0.0,57.68291652202606,82.97598537174053,60.81619708787184,16.442988017733573,,0,0,local compute
Laya,plain,test,2000,2000,2000,0.587,0.5654875,0.609,0.49292022045442496,0.4629702763857285,0.5216886516200189,0.707405253637285,0.30683023135721016,0.30683023135721016,2.031856241237887,0.8938302313572102,0.708,0.63,0.6077777777777778,0.587,0.0125,31.301062495913357,35.38684162776917,31.61095932556782,31.634598295508617,,0,0,local compute
